theta,Ff,Fr,hard_f,hard_r,soft_vy_signed_f,soft_vy_signed_r,cubic_f,cubic_r,qfu,qfv,qru,qrv
2.0,2.7487976735496744,1.1308327718834272,11.401553443293189,19.206002283959414,0.0705828811910884,-0.999999981167835,-13.9777445993253,-70.7021632348136,0.8993426927461912,0.22414087477000746,0.0995022245404411,0.8010502794191584
2.0100000000000002,2.7414750316677967,1.1279194104284203,11.35631620415416,19.142679173768492,0.07039757672753327,-0.9999999815068351,-13.91094897411784,-70.57065633964065,0.8992404211196374,0.22426469409755298,0.09949577238147989,0.8010626727724792
2.02,2.7341198693536533,1.1249926344461703,11.311012758233435,19.079199989162962,0.0702101435852708,-0.9999999818440116,-13.843694004243828,-70.43805743911459,0.8991377554774642,0.2243886709473371,0.0994893121775792,0.8010750806311673
2.0300000000000002,2.7267323155859553,1.122052485099774,11.265644860014113,19.015566615570094,0.0700205475170205,-0.9999999821793218,-13.775977302273633,-70.3043648422868,0.8990346946555761,0.22451279975421762,0.09948284412807144,0.8010875026112589
2.04,2.7193125011656654,1.1190990042137925,11.220214258948843,18.951780937604394,0.06982875334346209,-0.9999999825127232,-13.707796413386127,-70.16957694190127,0.8989312373576834,0.22463707496109392,0.09947636843094584,0.8010999383315536
2.05,2.711860558718664,1.116132234276465,11.174722699315662,18.887844838981458,0.06963472491737183,-0.9999999828441731,-13.639148804649624,-70.03369221451823,0.8988273821497931,0.2247614910196043,0.09946988528284935,0.8011123874136094
2.06,2.704376622698038,1.1131522184418068,11.129171920075091,18.823760202432034,0.06943842508651649,-0.9999999831736291,-13.570031860164397,-69.89670921981453,0.8987231274545353,0.22488604239082796,0.09946339487908953,0.80112484948174
2.07,2.696860829386484,1.110159000531652,11.083563654725825,18.75952890961739,0.06923981565392695,-0.9999999835010491,-13.50044288466686,-69.75862660337899,0.8986184715450809,0.22501072354601614,0.09945689741363617,0.8011373241630091
2.08,2.6893133168983865,1.1071526250376127,11.037899631161258,18.6951528410449,0.06903885733643808,-0.9999999838263907,-13.4303790877526,-69.61944309763918,0.8985134125388181,0.22513552896733002,0.09945039307912415,0.8011498110872244
2.09,2.6817342251818097,1.1041331371229555,10.992181571525766,18.630633875984643,0.06883550972094822,-0.9999999841496117,-13.35983758786759,-69.47915751826969,0.8984079483906874,0.22526045314859916,0.09944388206685671,0.8011623098869326
2.1,2.674123696020268,1.1011005826244074,10.946411192071986,18.565973892386815,0.06862973121868185,-0.9999999844706704,-13.288815400070382,-69.33776877041045,0.8983020768862323,0.2253854905960916,0.09943736456680809,0.8011748201974124
2.11,2.666481873034562,1.098055008053875,10.90059020301571,18.50117476679959,0.06842147901612619,-0.9999999847895251,-13.217309438504596,-69.19527584357567,0.8981957956341405,0.22551063582931521,0.09943084076762748,0.801187341656667
2.12,2.65880890168417,1.0949964606000886,10.854720308393844,18.43623837428804,0.06821070902455376,-0.9999999851061339,-13.1453165005973,-69.05167781755118,0.8980891020586069,0.22563588338181995,0.09942431085664223,0.8011998739054174
2.13,2.6511049292687416,1.091924988130171,10.808803205920352,18.37116658835373,0.06799737582595873,-0.9999999854204553,-13.072833266644915,-68.90697385775995,0.8979819933911523,0.22576122780203067,0.0994177750198625,0.8012124165870929
2.14,2.6433701049296765,1.0888406391911083,10.762840586839786,18.30596128085499,0.06778143261539579,-0.9999999857324482,-12.99985629038961,-68.76116321890794,0.8978744666618927,0.225886663654121,0.0994112334419846,0.8012249693478236
2.15,2.635604579650905,1.0857434630111604,10.716834135786979,18.24062432192803,0.06756283114223531,-0.9999999860420712,-12.926381998270566,-68.61424524479683,0.8977665186907126,0.22601218551885716,0.09940468630639648,0.8012375318364303
2.16,2.6278085062605623,1.082633509501177,10.67078553063756,18.17515757990875,0.06734152164512146,-0.9999999863492834,-12.852406670084003,-68.4662193678073,0.8976581460774297,0.22613778799453804,0.09939813379518134,0.8012501037044157
2.17,2.619982039431691,1.079510829255843,10.624696442365998,18.109562921255595,0.06711745278592826,-0.9999999866540441,-12.777926440998176,-68.31708510965144,0.8975493451918876,0.22626346569789565,0.09939157608912348,0.8012626846059535
2.18,2.612125335683487,1.0763754735548217,10.578568534897222,18.04384221047274,0.06689057157794565,-0.9999999869563123,-12.7029372892477,-68.1668420841029,0.8974401121631499,0.22638921326506992,0.09938501336771347,0.8012752741978779
2.19,2.6042385533823182,1.0732274943638411,10.532403464959659,17.977997310034507,0.06666082331050284,-0.9999999872560476,-12.627435027037553,-68.01548999279325,0.8973304428681892,0.22651502535259624,0.09937844580915278,0.8012878721396723
2.2,2.596321852742495,1.0700669443356796,10.486202881938848,17.91203008031031,0.0664281514697367,-0.9999999875532101,-12.551415286999607,-67.86302862965861,0.8972203329200242,0.22664089663841247,0.09937187359036025,0.8013004780934586
2.21,2.588375395827482,1.0668938768110774,10.43996842772617,17.845942379490417,0.06619249765308761,-0.9999999878477593,-12.474873521837452,-67.70945787992147,0.8971097776549013,0.22676682182293056,0.09936529688697755,0.8013130917239839
2.22,2.580399346550846,1.0637083458195553,10.39370173656862,17.779736063512587,0.06595380147954587,-0.9999999881396556,-12.39780498172953,-67.55477771863845,0.8969987721188726,0.22689279563012701,0.09935871587337547,0.8013257126986092
2.23,2.5723938706770277,1.0605104060801684,10.347404434919172,17.713412985989514,0.06571200049486448,-0.9999999884288594,-12.3202047099003,-67.39898821497474,0.8968873110536518,0.22701881280865505,0.09935213072265976,0.8013383406872956
2.24,2.5643591358228526,1.057300113002143,10.301078141279158,17.64697499813696,0.06546703006869403,-0.9999999887153309,-12.242067529037307,-67.24208952887274,0.8967753888812275,0.22714486813305143,0.09934554160667848,0.8013509753625916
2.25,2.5562953114582827,1.0540775226854693,10.254724466046394,17.580423948702766,0.06521882328776431,-0.9999999889990313,-12.163388023064693,-67.08408191217725,0.8966629996879631,0.22727095640492548,0.09933894869602782,0.8013636163996191
2.2600000000000002,2.5482025689079513,1.050842691921381,10.208345011355256,17.51376168389674,0.0649673108401305,-0.9999999892799215,-12.084160529134081,-66.92496571091051,0.8965501372073302,0.22739707245424665,0.09933235216005912,0.8013762634760594
2.27,2.540081081352483,1.04759567819276,10.161941370917202,17.4469900473212,0.06471242089273814,-0.9999999895579629,-12.004379121106986,-66.76474136295134,0.8964367948016849,0.22752321114065963,0.09932575216688683,0.801388916272139
2.2800000000000002,2.5319310238301638,1.0443365396744504,10.115515129857192,17.380110879902425,0.06445407896040467,-0.9999999898331168,-11.924037587218098,-66.60340939996516,0.8963229654427711,0.22764936735486813,0.09931914888339445,0.801401574470614
2.29,2.5237525732386406,1.0410653352335024,10.069067864548803,17.313126019822953,0.06419220776654624,-0.9999999901053452,-11.843129420838013,-66.44097044743728,0.8962086416910227,0.2277755360200671,0.09931254247524288,0.8014142377567554
2.3000000000000003,2.5155459083371037,1.0377821244293117,10.022601142443499,17.246037302454585,0.06392672709340334,-0.9999999903746098,-11.761647797072877,-66.27742522420539,0.8960938156733017,0.227901712093458,0.09930593310687787,0.8014269058183336
2.31,2.5073112097484165,1.0344869675136807,9.976116521899431,17.17884656029232,0.0636575536231845,-0.9999999906408735,-11.679585551293354,-66.11277454282073,0.8959784790593281,0.22802789056781075,0.09929932094153751,0.8014395783456021
2.32,2.49904865996216,1.0311799254308034,9.929615552000833,17.11155562288904,0.06338460076586426,-0.9999999909040983,-11.596935162289586,-65.94701931115976,0.8958626230361014,0.22815406647314476,0.09929270614126051,0.8014522550312814
2.33,2.4907584433373113,1.0278610598171458,9.883099772379222,17.044166316790992,0.06310777847726846,-0.9999999911642473,-11.513688725415564,-65.78016053011895,0.8957462382809511,0.22828023487843843,0.0992860888668943,0.8014649355705421
2.34,2.482440746106052,1.0245304330012583,9.8365707130237,16.97668046547427,0.06282699306155892,-0.9999999914212837,-11.429837928890004,-65.612199295631,0.8956293149322375,0.2284063908934788,0.09927946927810274,0.8014776196609885
2.35,2.4740957563776336,1.0211881080034895,9.790029894088939,16.909099889281816,0.06254214696057361,-0.9999999916751711,-11.345374024593475,-65.44313679866985,0.8955118425581542,0.22853252967077814,0.09927284753337581,0.801490307002641
