F0,period,u,v,m,n,res,dy
3.075,70.0,3.0000000000000004,-6.000000000000001,3.0,-6.0,7.691850745534255e-16,-5.196152422706632
3.1,70.0,3.0000000000000018,-6.0000000000000036,3.0,-6.0,3.076740298213702e-15,-5.196152422706635
3.125,70.0,2.9999999999999996,-5.999999999999999,3.0,-6.0,7.691850745534255e-16,-5.196152422706631
3.15,70.0,3.000000000000001,-6.000000000000001,3.0,-6.0,8.881784197001251e-16,-5.196152422706632
3.175,70.0,3.0000000000000013,-6.000000000000003,3.0,-6.0,2.3075552236602768e-15,-5.196152422706634
3.2,70.0,3.9999999999999973,-5.999999999999995,4.0,-6.0,4.6151104473205536e-15,-5.196152422706627
3.225,70.0,3.999999999999927,-5.999999999999983,4.0,-6.0,6.603055522374874e-14,-5.196152422706617
3.25,70.0,4.000000000000018,-6.0000000000000036,4.0,-6.0,1.6280579355608324e-14,-5.196152422706635
3.275,70.0,5.000000000004871,-7.000000000002546,5.0,-7.0,4.219671736124791e-12,-6.062177826493276
3.3,70.0,5.000000000000002,-7.000000000000003,5.0,-7.0,2.3498992183808826e-15,-6.062177826491072
3.325,70.0,5.000000000000005,-7.00000000000001,5.0,-7.0,8.472682124045022e-15,-6.062177826491078
3.35,70.0,1.9999999999999987,-6.999999999999998,2.0,-7.0,1.6011864169946884e-15,-6.062177826491069
3.375,70.0,2.000000000000178,-7.000000000000065,2.0,-7.0,1.5610920129757377e-13,-6.062177826491126
3.4,70.0,2.0000000000000258,-7.999999999999914,2.0,-8.0,1.0151300411721681e-13,-6.928203230275434
3.425,70.0,1.9999999999999991,-7.999999999999998,2.0,-8.0,1.538370149106851e-15,-6.928203230275507
3.45,70.0,1.999999999999997,-7.999999999999996,2.0,-8.0,3.9471512357794175e-15,-6.928203230275505
3.475,70.0,2.0000000000000284,-7.000000000000067,2.0,-7.0,5.789533648130978e-14,-6.062177826491128
3.5,70.0,1.9999999999998477,-6.999999999999954,2.0,-7.0,1.3527820406312074e-13,-6.06217782649103
3.525,70.0,1.9999999999941518,-8.0000000000062,2.0,-8.0,1.04350891601925e-11,-6.928203230280877
3.55,70.0,2.0,-8.0,2.0,-8.0,0.0,-6.928203230275509
3.575,70.0,1.9999999999999976,-7.000000000000001,2.0,-7.0,2.9873046363423827e-15,-6.062177826491071
3.6,70.0,1.9999999999999987,-7.0,2.0,-7.0,1.3322676295501878e-15,-6.06217782649107
3.625,70.0,2.000000000000055,-7.000000000000017,2.0,-7.0,4.8865959113722535e-14,-6.062177826491085
3.65,70.0,1.9999999999998403,-7.000000000000054,2.0,-7.0,1.925439149657733e-13,-6.0621778264911175
3.675,70.0,1.999999999999718,-6.999999999999959,2.0,-7.0,2.6395080182039684e-13,-6.062177826491035
3.7,70.0,1.9999999999999998,-7.000000000000001,2.0,-7.0,1.0175362097255202e-15,-6.062177826491071
3.725,70.0,2.0000000000000027,-7.000000000000013,2.0,-7.0,1.2210434516706242e-14,-6.062177826491082
3.75,70.0,1.9999999999999958,-6.999999999999998,2.0,-7.0,3.6687789788066426e-15,-6.062177826491069
3.775,70.0,1.9999999999999587,-6.999999999999992,2.0,-7.0,3.794039979760415e-14,-6.062177826491063
3.8,70.0,2.0000000000000084,-6.0000000000000036,2.0,-6.0,7.337557957613285e-15,-5.196152422706635
3.825,70.0,2.000000000000016,-7.000000000000009,2.0,-7.0,1.3873790429220374e-14,-6.0621778264910775
