family,shape,N,Theta,theta_deg,Fp,Fm,Fp_norm,Fm_norm,rho,hard_p,hard_m,res_p,res_m
hex,shell16,817,8.0,0.27988457141652784,3.3927728225946145,1.3857518465710248,0.9735023747767071,0.9743476671386903,0.4200084994798255,16.023626255445947,25.39278867898052,4.25923785772558e-14,4.114572962971501e-14
hex,shell16,817,9.0,0.3148701428435938,3.3681148163774934,1.376013134027402,0.9664271508036298,0.967500198833818,0.41990892808446967,15.817990137258988,25.127587202802268,4.9100372708838536e-14,1.7236598144797258e-15
hex,shell16,817,10.0,0.3498557142706598,3.3405032886193724,1.3651084818338377,0.9585044606474444,0.9598329368690954,0.41979553417244175,15.59104315763561,24.833981331019324,3.305543683984682e-14,3.109326511411663e-14
hex,shell16,817,11.0,0.38484128569772574,3.3099282124329927,1.3530335315555635,0.9497314272518113,0.9513428167486968,0.41966775374047155,15.343701322918527,24.51285873631578,9.604021104099896e-16,7.818437727559915e-16
hex,shell16,817,12.0,0.41982685712479173,3.2763822092947157,1.3397846518696161,0.9401059334663461,0.94202728522251,0.4195250335765881,15.076953758306399,24.165178364241825,2.1490423678421667e-14,3.857494956978827e-14
hex,shell16,817,13.0,0.4548124285518577,3.239861493697735,1.32535924986367,0.9296268930998837,0.9318845191660831,0.4193668502304513,14.791855879909509,23.791964525758594,1.8808623145523812e-14,7.456883440064581e-15
hex,shell16,817,14.0,0.4897979999789237,3.2003668322214107,1.3097560920232472,0.9182945261102187,0.9209136512726493,0.41919272976684946,14.489522044360374,23.394300745524397,1.1571067863552223e-14,1.1648648286738166e-14
hex,shell16,817,15.0,0.5247835714059896,3.157904499150218,1.2929756302163893,0.906110632803813,0.9091149992589579,0.41900226802990126,14.1711177357498,22.973323433260667,3.683679078694333e-14,5.926419644015177e-15
hex,shell16,817,16.0,0.5597691428330557,3.1124872106255164,1.2750203278861105,0.8930788618758368,0.8964902952172011,0.4187951511446814,13.837851360716318,22.530215444785483,2.069992461404821e-14,3.955037275686392e-14
hex,shell16,817,17.0,0.5947547142601216,3.0641350195937584,1.2558949816279465,0.8792049672013694,0.8830429117221169,0.4185711759998059,13.490965732532075,22.06619959769487,7.664411986119882e-15,1.0272650634551291e-14
hex,shell16,817,18.0,0.6297402856871877,3.0128761545629414,1.2356070333632465,0.8644970485032653,0.8687780813257839,0.41833027049525257,13.131729333208009,21.58253220430359,3.472033995191383e-14,3.075310429515292e-14
hex,shell16,817,19.0,0.6647258571142536,2.9587477864221503,1.2141668684183224,0.8489657713788658,0.8537031061425668,0.41807251341221635,12.761427448171748,21.08049668142005,7.900389831440638e-16,2.822277937883506e-14
hex,shell16,817,20.0,0.6997114285413196,2.9017967093739774,1.1915880949830986,0.832624562682762,0.8378275543416435,0.4177981538824546,12.381353269787361,20.561397292913014,9.106864926234825e-15,2.9215891988850734e-14
hex,shell18,1027,0.0,0.0,3.4851202323700723,1.4222355051564721,1.0,1.0,0.4203658421252656,16.820108412143277,26.412876826421353,1.7838401791723786e-15,5.988270375482281e-14
hex,shell18,1027,1.0,0.031204323970714827,3.4836837258720132,1.421667783339579,0.9995878172337594,0.9996008243256235,0.420360485616626,16.807384851141137,26.396666280125736,1.6423793219167596e-15,7.73777730147046e-14
hex,shell18,1027,2.0,0.062408647941429654,3.4793728042995795,1.4199641124300728,0.9983508666309099,0.9984029419050754,0.42034437044680306,16.769267436657028,26.348086514143073,4.341757713634518e-14,2.4355719145444198e-14
hex,shell18,1027,3.0,0.09361297191214447,3.472183324063271,1.4171229956473312,0.9962879592541336,0.99640530032431,0.42031736079435883,16.705915639105985,26.267292783908854,5.676919059672196e-15,1.344160212608498e-13
